latitude,longitude,elevation,temps,temperature,freqCardiaque
49.462048,1.077263,100.8,2023-11-29 07:20:21+00:00,24,126
49.461927,1.077248,100.4,2023-11-29 07:20:23+00:00,24,126
49.461875,1.077275,100.4,2023-11-29 07:20:24+00:00,24,125
49.461815,1.07736,100.2,2023-11-29 07:20:26+00:00,24,128
49.461859,1.077504,100.2,2023-11-29 07:20:27+00:00,24,130
49.461927,1.077711,100.0,2023-11-29 07:20:29+00:00,24,133
49.46194,1.077852,100.2,2023-11-29 07:20:31+00:00,24,136
49.461952,1.078043,100.2,2023-11-29 07:20:33+00:00,24,135
49.461974,1.078244,100.2,2023-11-29 07:20:35+00:00,24,136
49.462026,1.07894,100.2,2023-11-29 07:20:42+00:00,24,134
49.462005,1.079372,100.2,2023-11-29 07:20:47+00:00,24,138
49.461993,1.079446,100.0,2023-11-29 07:20:48+00:00,24,136
49.461959,1.079581,99.4,2023-11-29 07:20:50+00:00,24,135
49.461908,1.079713,98.6,2023-11-29 07:20:53+00:00,24,134
49.461898,1.079727,98.4,2023-11-29 07:20:54+00:00,24,135
49.46188,1.079715,98.4,2023-11-29 07:20:57+00:00,24,134
49.461893,1.079782,98.4,2023-11-29 07:21:06+00:00,24,133
49.461861,1.079807,98.6,2023-11-29 07:21:12+00:00,24,130
49.461844,1.079859,98.8,2023-11-29 07:21:14+00:00,24,131
49.461794,1.079987,99.8,2023-11-29 07:21:17+00:00,23,131
49.461745,1.080128,100.2,2023-11-29 07:21:20+00:00,23,132
49.461623,1.080407,100.6,2023-11-29 07:21:25+00:00,23,134
49.461529,1.080605,100.4,2023-11-29 07:21:29+00:00,23,134
49.461483,1.080672,100.6,2023-11-29 07:21:31+00:00,23,135
49.461436,1.080786,100.8,2023-11-29 07:21:33+00:00,23,134
49.461353,1.081008,101.2,2023-11-29 07:21:37+00:00,23,134
49.461279,1.081178,101.8,2023-11-29 07:21:40+00:00,23,135
49.461219,1.081308,101.2,2023-11-29 07:21:42+00:00,23,136
49.460909,1.081728,100.4,2023-11-29 07:21:49+00:00,22,137
49.460795,1.081848,99.8,2023-11-29 07:21:51+00:00,22,136
49.460732,1.081898,99.6,2023-11-29 07:21:52+00:00,22,138
49.4606,1.081975,99.2,2023-11-29 07:21:54+00:00,22,138
49.460401,1.082085,98.6,2023-11-29 07:21:57+00:00,22,135
49.460209,1.082201,97.4,2023-11-29 07:22:00+00:00,22,136
49.459995,1.082297,96.2,2023-11-29 07:22:03+00:00,22,136
49.459781,1.082381,95.0,2023-11-29 07:22:06+00:00,22,136
49.459706,1.082417,94.6,2023-11-29 07:22:07+00:00,22,136
49.459549,1.082471,93.8,2023-11-29 07:22:09+00:00,22,133
49.45939,1.082527,92.8,2023-11-29 07:22:11+00:00,22,131
49.45923,1.082593,91.6,2023-11-29 07:22:13+00:00,22,131
49.459152,1.082621,91.2,2023-11-29 07:22:14+00:00,22,132
49.458999,1.082651,90.0,2023-11-29 07:22:16+00:00,22,132
49.458845,1.082678,88.8,2023-11-29 07:22:18+00:00,22,130
49.458776,1.082676,88.6,2023-11-29 07:22:19+00:00,22,131
49.458706,1.082669,88.4,2023-11-29 07:22:20+00:00,22,129
49.458154,1.08267,88.4,2023-11-29 07:22:26+00:00,22,131
49.45801,1.082681,88.4,2023-11-29 07:22:27+00:00,22,132
49.457695,1.082698,87.6,2023-11-29 07:22:30+00:00,22,131
49.457543,1.08269,87.6,2023-11-29 07:22:32+00:00,22,128
49.457476,1.082678,87.2,2023-11-29 07:22:33+00:00,22,128
49.457218,1.082653,86.8,2023-11-29 07:22:36+00:00,22,125
49.457077,1.08265,86.6,2023-11-29 07:22:38+00:00,22,126
49.456766,1.082572,85.8,2023-11-29 07:22:43+00:00,22,125
49.456577,1.082496,85.4,2023-11-29 07:22:46+00:00,21,123
49.456396,1.082425,85.6,2023-11-29 07:22:49+00:00,21,126
49.456332,1.082404,85.6,2023-11-29 07:22:50+00:00,21,128
49.456056,1.082313,84.2,2023-11-29 07:22:54+00:00,21,131
49.455993,1.082298,83.6,2023-11-29 07:22:55+00:00,21,133
49.455928,1.082307,83.4,2023-11-29 07:22:56+00:00,21,134
49.455874,1.08234,83.0,2023-11-29 07:22:57+00:00,21,135
49.455813,1.082384,82.8,2023-11-29 07:22:58+00:00,21,135
49.455694,1.082481,82.0,2023-11-29 07:23:00+00:00,21,135
49.455572,1.082612,81.0,2023-11-29 07:23:02+00:00,21,134
49.455509,1.082678,80.4,2023-11-29 07:23:03+00:00,21,135
49.455447,1.082745,80.0,2023-11-29 07:23:04+00:00,21,136
49.455245,1.082946,79.0,2023-11-29 07:23:07+00:00,21,135
49.455173,1.083019,78.6,2023-11-29 07:23:08+00:00,21,132
49.455098,1.083092,78.2,2023-11-29 07:23:09+00:00,21,134
49.455012,1.08318,77.6,2023-11-29 07:23:10+00:00,21,134
49.454923,1.083263,76.6,2023-11-29 07:23:11+00:00,21,135
49.454815,1.083357,75.4,2023-11-29 07:23:12+00:00,21,135
49.454659,1.083505,73.8,2023-11-29 07:23:14+00:00,21,135
49.454588,1.083569,72.8,2023-11-29 07:23:15+00:00,21,135
49.454511,1.083627,71.6,2023-11-29 07:23:16+00:00,21,133
49.454371,1.083743,69.8,2023-11-29 07:23:18+00:00,21,133
49.454296,1.083803,68.8,2023-11-29 07:23:19+00:00,21,134
49.454228,1.083878,67.8,2023-11-29 07:23:20+00:00,21,134
49.454103,1.084063,65.8,2023-11-29 07:23:22+00:00,21,133
49.45404,1.084146,65.0,2023-11-29 07:23:23+00:00,21,132
49.453979,1.084236,64.2,2023-11-29 07:23:24+00:00,21,132
49.453861,1.084417,62.6,2023-11-29 07:23:26+00:00,21,131
49.453826,1.08452,61.6,2023-11-29 07:23:27+00:00,21,132
49.453744,1.08466,59.8,2023-11-29 07:23:29+00:00,21,131
49.453659,1.084779,57.8,2023-11-29 07:23:31+00:00,21,133
49.453533,1.084914,56.0,2023-11-29 07:23:33+00:00,21,132
49.45345,1.084981,55.2,2023-11-29 07:23:34+00:00,21,132
49.453386,1.085028,54.4,2023-11-29 07:23:35+00:00,21,132
49.453259,1.08511,53.2,2023-11-29 07:23:37+00:00,21,135
49.453108,1.085175,52.2,2023-11-29 07:23:39+00:00,21,136
49.453031,1.085203,51.6,2023-11-29 07:23:40+00:00,21,134
49.452886,1.085252,50.6,2023-11-29 07:23:42+00:00,21,135
49.452817,1.08526,49.6,2023-11-29 07:23:43+00:00,21,134
49.452745,1.085267,48.4,2023-11-29 07:23:44+00:00,21,134
49.452671,1.085264,47.4,2023-11-29 07:23:45+00:00,21,134
49.452601,1.08527,46.2,2023-11-29 07:23:46+00:00,21,133
49.452509,1.085249,44.4,2023-11-29 07:23:47+00:00,21,132
49.452325,1.085179,43.6,2023-11-29 07:23:49+00:00,21,131
49.452236,1.085143,42.6,2023-11-29 07:23:50+00:00,21,131
49.452085,1.085045,40.8,2023-11-29 07:23:52+00:00,21,131
49.452022,1.084965,39.4,2023-11-29 07:23:53+00:00,21,130
49.45195,1.084894,38.2,2023-11-29 07:23:54+00:00,21,130
49.451883,1.084819,37.0,2023-11-29 07:23:55+00:00,21,131
49.451824,1.084732,35.8,2023-11-29 07:23:56+00:00,21,129
49.451773,1.084648,34.6,2023-11-29 07:23:57+00:00,21,129
49.451726,1.084568,33.4,2023-11-29 07:23:58+00:00,21,129
49.451684,1.084488,31.8,2023-11-29 07:23:59+00:00,21,128
49.451634,1.084404,30.4,2023-11-29 07:24:00+00:00,21,127
49.451578,1.084312,29.2,2023-11-29 07:24:01+00:00,21,126
49.451507,1.084219,28.2,2023-11-29 07:24:02+00:00,21,125
49.451432,1.084124,27.4,2023-11-29 07:24:03+00:00,21,126
49.451352,1.084033,27.0,2023-11-29 07:24:04+00:00,21,124
49.451276,1.083958,26.4,2023-11-29 07:24:05+00:00,21,124
49.451206,1.083891,25.4,2023-11-29 07:24:06+00:00,21,125
49.451119,1.083844,24.0,2023-11-29 07:24:07+00:00,21,125
49.451025,1.083801,22.6,2023-11-29 07:24:08+00:00,21,125
49.450911,1.083768,21.6,2023-11-29 07:24:09+00:00,21,124
49.450698,1.083746,19.6,2023-11-29 07:24:11+00:00,21,123
49.450597,1.083742,18.6,2023-11-29 07:24:12+00:00,21,123
49.450502,1.083745,17.4,2023-11-29 07:24:13+00:00,21,122
49.45041,1.083754,16.4,2023-11-29 07:24:14+00:00,21,122
49.450326,1.083761,15.2,2023-11-29 07:24:15+00:00,21,123
49.450246,1.083771,14.0,2023-11-29 07:24:16+00:00,21,122
49.450171,1.083777,12.6,2023-11-29 07:24:17+00:00,21,121
49.450103,1.083782,11.4,2023-11-29 07:24:18+00:00,21,120
49.450035,1.083783,10.2,2023-11-29 07:24:19+00:00,21,119
49.449905,1.083791,8.6,2023-11-29 07:24:21+00:00,21,118
49.449707,1.083799,7.2,2023-11-29 07:24:24+00:00,21,118
49.449586,1.083807,5.8,2023-11-29 07:24:26+00:00,21,118
49.449463,1.083816,4.8,2023-11-29 07:24:28+00:00,21,119
